Iteration	Posterior	Likelihood	Prior	clado_event_probs[1]	clado_event_probs[2]	dispersal_rate	extirpation_rate	p_allopatry	p_sympatry	r_morph
153	-143.5532	-147.3212	3.768021	0.0498447	0.950155	0.007270343	0.002984376	0.9501553	0.04984468	0.3037187
154	-143.978	-147.5443	3.566273	0.0217629	0.978237	0.005478401	0.00571973	0.9782371	0.02176293	0.3229501
155	-144.316	-147.4807	3.164721	0.0217629	0.978237	0.005843767	0.007304884	0.9782371	0.02176293	0.3611548
156	-151.5075	-147.6927	-3.814815	0.160027	0.839973	0.005843767	0.004738958	0.8399725	0.1600275	1.061674
157	-145.0529	-148.5342	3.481285	0.160027	0.839973	0.007769406	0.00560329	0.8399725	0.1600275	0.3292744
158	-145.084	-148.49	3.405977	0.0533071	0.946693	0.008389386	0.01251411	0.9466929	0.05330713	0.3292744
159	-145.3934	-148.9431	3.549676	0.223146	0.776854	0.00740283	0.00322898	0.7768541	0.2231459	0.3251761
160	-143.882	-147.9079	4.025894	0.0609523	0.939048	0.006578688	0.0072754	0.9390477	0.06095233	0.274332
161	-147.2628	-147.1282	-0.1346051	0.0609523	0.939048	0.008230744	0.001861415	0.9390477	0.06095233	0.6941439
162	-151.0636	-150.219	-0.8446324	0.0609523	0.939048	0.009896065	0.02645125	0.9390477	0.06095233	0.7388914
163	-150.7599	-149.9308	-0.8291283	0.110212	0.889788	0.008345655	0.02645125	0.889788	0.110212	0.7388914
164	-150.4219	-152.2236	1.801716	0.220609	0.779391	0.005129536	0.03373903	0.7793906	0.2206094	0.4717354
165	-145.0965	-150.1382	5.041677	0.182148	0.817852	0.004547703	0.001223589	0.8178518	0.1821482	0.1808365
166	-146.0129	-149.0732	3.060232	0.25908	0.74092	0.0068392	0.003062529	0.7409203	0.2590797	0.3748506
167	-144.0068	-147.8924	3.885648	0.119656	0.880344	0.007066088	0.003062529	0.880344	0.119656	0.2920821
168	-146.6281	-147.366	0.7379056	0.119656	0.880344	0.007097126	0.003062529	0.880344	0.119656	0.6068253
