gbifID	species	decimalLongitude	decimalLatitude	coordinateUncertaintyInMeters	year	institutionCode	collectionCode	catalogNumber	recordNumber	recordedBy
2630148588	blandum	-92.105444	15.102528	NA	2015	UNICACH	HEM	NA	NA	N.M.M.; M.M.M.; R.V.H.
11	blandum	-91.476102	15.831377	4231	NA	Field Museum	F	NA	11	NA
540	blandum	-94.730278	18.309722	2704	NA	Field Museum	F	NA	540	NA
1288	blandum	-92.477705	16.790296	767	NA	Field Museum	F	NA	1288	NA
6895	blandum	-88.283333	13.966667	406	NA	Field Museum	F	NA	6895	NA
8499	blandum	-91.485482	15.569644	208	NA	Field Museum	F	NA	8499	NA
8499	blandum	-91.480162	15.570478	1763	NA	Field Museum	F	NA	8499	NA
8640	blandum	-91.523278	15.822659	1667	NA	Field Museum	F	NA	8640	NA
8720	blandum	-91.435132	15.822707	1702	NA	Field Museum	F	NA	8720	NA
8720	blandum	-91.432687	15.822417	1739	NA	Field Museum	F	NA	8720	NA
11502	blandum	-91.464959	15.57535	924	NA	Field Museum	F	NA	11502	NA
11627	blandum	-91.421985	15.820741	880	NA	Field Museum	F	NA	11627	NA
26093	blandum	-91.886229	14.919124	620	NA	Field Museum	F	NA	26093	NA
26786	blandum	-91.891921	14.960767	2046	NA	Field Museum	F	NA	26786	NA
26786	blandum	-91.87223	14.950872	3516	NA	Field Museum	F	NA	26786	NA
34412	blandum	-91.544546	14.735477	1967	NA	Field Museum	F	NA	34412	NA
36248	blandum	-92.104468	15.15045	1565	NA	Field Museum	F	NA	36248	NA
36424	blandum	-92.062976	15.103085	1646	NA	Field Museum	F	NA	36424	NA
36813	blandum	-91.977767	14.98024	3061	NA	Field Museum	F	NA	36813	NA
42576	blandum	-89.680616	15.098438	4467	NA	Field Museum	F	NA	42576	NA
46127	blandum	-91.927043	15.003086	3898	NA	Field Museum	F	NA	46127	NA
46869	blandum	-91.29592	14.728473	952	NA	Field Museum	F	NA	46869	NA
47044	blandum	-91.303552	14.715088	3036	NA	Field Museum	F	NA	47044	NA
49035	blandum	-91.413056	15.861111	1976	NA	Field Museum	F	NA	49035	NA
49797	blandum	-91.437472	15.829046	2545	NA	Field Museum	F	NA	49797	NA
50092	blandum	-91.447094	15.599866	2469	NA	Field Museum	F	NA	50092	NA
50654	blandum	-91.812523	15.467271	1074	NA	Field Museum	F	NA	50654	NA
67366	blandum	-91.462703	14.733333	3403	NA	Field Museum	F	NA	67366	NA
1895446889	blandum	-92.616556	15.417388	NA	1936	CNS-UT	LL	78293	NA	NA
1424522300	blandum	-92.580442	16.819088	NA	2016	Yale Peabody Museum	YU.254706	NA	3200	"Patrick Sweeney, Michael Donoghue, Erika Edwards, Ivalu Cacho"
NA	blandum	-92.580442	16.8191	0	NA	Yale Peabody Museum	YU.101661	6979	3087	Patrick W. Sweeney
1259702044	blandum	-92.233333	15.316667	NA	1990	MO	MO	2393275	Stafford 301	Peter J. Stafford|Rachel J. Hampshire|Alberto Reyes-Garcia|M. Heath|A. Long
1259699580	blandum	-92.283333	15.25	NA	1990	MO	MO	2391018	Stafford 355	Peter J. Stafford|Rachel J. Hampshire|Alberto Reyes-Garcia|M. Heath|A. Long
2630148184	blandum	-92.09925	15.084194	NA	2013	UNICACH	HEM	NA	NA	R.M. Camilo
2630162725	blandum	-92.143305	15.097167	NA	2014	UNICACH	HEM	NA	NA	R.M. Camilo; M.I.L.R.; N.A.F.R.
2630147519	blandum	-92.185417	15.110583	NA	2015	UNICACH	HEM	HEM 42372	NA	R.M. Camilo; R.V.H.; M.M.M.
1259699918	blandum	-92.866667	15.65	NA	1990	MO	MO	2391376	Hampshire 776	Rachel J. Hampshire|Peter J. Stafford|Alberto Reyes-Garcia|M. Heath|A. Long
2426906724	caudatum	-97.5512	19.9432	NA	2015	US	Botany	NA	CLC_20915	C. Ledesma & A. Sotero
2426891589	caudatum	-97.7406	19.9617	NA	2016	US	Botany	NA	CLC_21708	"C. Ledesma, A. Sotero & O. Lopez"
2426932516	caudatum	-97.7479	19.9762	NA	2016	US	Botany	NA	CLC_21785	"C. Ledesma, A. Sotero & O. Lopez"
2313489875	caudatum	-97.55121	19.94323	NA	2015	MO	MO	101146762	Ledesma Corral 20915	Canek Ledesma C.|Anastacio Sotero Hernandez
2313489902	caudatum	-97.74786	19.97615	NA	2016	MO	MO	101146763	Ledesma Corral 21785	Canek Ledesma C.|Anastacio Sotero Hernandez|Osbel Lopez F.
2575280657	caudatum	-98.64293	20.58475	NA	1904	Z	NA	Z-000002591	8826	Cyrus Guernsey Pringle
1419189711	caudatum	-98.4025	20.3275	NA	1995	UACh	CHAP	54671	NA	E. Guizar N.
2629505552	caudatum	-98.358055	20.348889	NA	1995	INECOL	XAL	107933	NA	E. Guizar N.
1895036944	caudatum	-98.210278	20.3275	NA	1993	FC-UNAM	FCME	NA	NA	Isolda Luna Vega; Susana Ocegueda Cruz; Othon Alcantara Ayala
2270511251	caudatum	-98.247316	20.312475	5000	1973	ASU	Plants	ASU0039002	981	J. Cimate L.
2426898316	caudatum	-97.5367	19.9756	NA	2008	US	Botany	NA	JDA_01210	J. D. Amith & R. Santiago
1893620974	caudatum	-98.226667	20.335	NA	1973	INECOL	IEB	21291	NA	J. Gimate L.
2629446225	caudatum	-98.216667	20.333333	NA	1973	INECOL	XAL	21499	NA	J. Gimate L.
2418027237	caudatum	-97.478333	19.898333	NA	1998	CHSC	VascularPlants	CHSC095830	4899	J. L. Contreras J.
2418028706	caudatum	-97.507222	19.950556	NA	1999	CHSC	VascularPlants	CHSC095834	7187	J. L. Contreras J.
1895958634	caudatum	-97.388333	19.888333	NA	1998	EB-BUAP	HUAP	10399	NA	J. L. Contreras J.
1895958637	caudatum	-97.455	19.898333	NA	1998	EB-BUAP	HUAP	10536	NA	J. L. Contreras J.
1895958622	caudatum	-97.678333	19.871667	NA	1998	EB-BUAP	HUAP	10539	NA	J. L. Contreras J.
2629500607	caudatum	-97.848333	20.113333	NA	1998	INECOL	XAL	107932	NA	J.L. Contreras J.
